Label,lat,lon,lat_lon,site,protection,classification,verified_classification
1,35.1055,32.28788333,"35.1055,32.2878833333333",Akamas,Protected,2,0
2,35.09078333,32.3034,"35.0907833333333,32.3034",Akamas,Protected,2,0
3,34.94721667,32.3069,"34.9472166666667,32.3069",Akamas,Protected,2,0
4,35.08901667,32.30535,"35.0890166666667,32.30535",Akamas,Protected,2,0
5,34.55946667,33.04213333,"34.5594666666667,33.0421333333333",Akrotiri,Protected,3,0
6,34.56506667,32.91873333,"34.5650666666667,32.9187333333333",Akrotiri,Protected,3,0
7,34.62955,32.77016667,"34.62955,32.7701666666667",Akrotiri,Protected,3,0
8,34.97873333,34.0727,"34.9787333333333,34.0727",Kavo Gkreko,Protected,1,0
9,34.98588333,34.07761667,"34.9858833333333,34.0776166666667",Kavo Gkreko,Protected,1,0
10,34.9859,34.07838333,"34.9859,34.0783833333333",Kavo Gkreko,Protected,1,0
11,34.97665,34.07595,"34.97665,34.07595",Kavo Gkreko,Protected,1,0
12,34.97586667,34.07546667,"34.9758666666667,34.0754666666667",Kavo Gkreko,Protected,1,0
13,34.96226667,34.05288333,"34.9622666666667,34.0528833333333",Kavo Gkreko,Protected,1,0
14,34.96161667,34.0622,"34.9616166666667,34.0622",Kavo Gkreko,Protected,1,0
15,34.9672,34.05521667,"34.9672,34.0552166666667",Kavo Gkreko,Protected,1,0
16,34.97091667,34.04483333,"34.9709166666667,34.0448333333333",Kavo Gkreko,Protected,1,0
17,34.96141667,34.05881667,"34.9614166666667,34.0588166666667",Kavo Gkreko,Protected,1,0
18,34.96661667,34.04568333,"34.9666166666667,34.0456833333333",Kavo Gkreko,Protected,1,0
19,34.98545,34.07851667,"34.98545,34.0785166666667",Kavo Gkreko,Protected,1,0
20,34.98586667,34.07785,"34.9858666666667,34.07785",Kavo Gkreko,Protected,1,0
21,34.97961667,34.07201667,"34.9796166666667,34.0720166666667",Kavo Gkreko,Protected,1,0
22,34.98606667,34.07726667,"34.9860666666667,34.0772666666667",Kavo Gkreko,Protected,1,0
23,34.97616667,34.0754,"34.9761666666667,34.0754",Kavo Gkreko,Protected,2,0
24,34.97336667,34.07681667,"34.9733666666667,34.0768166666667",Kavo Gkreko,Protected,2,1
25,35.002,34.07146667,"35.002,34.0714666666667",Kavo Gkreko,Protected,2,0
26,34.97381667,34.08355,"34.9738166666667,34.08355",Kavo Gkreko,Protected,2,1
27,34.97013333,34.07886667,"34.9701333333333,34.0788666666667",Kavo Gkreko,Protected,2,1
28,34.96441667,34.082,"34.9644166666667,34.082",Kavo Gkreko,Protected,2,1
29,34.96921667,34.07626667,"34.9692166666667,34.0762666666667",Kavo Gkreko,Protected,2,1
30,34.95853333,34.07378333,"34.9585333333333,34.0737833333333",Kavo Gkreko,Protected,2,1
31,34.96345,34.07381667,"34.96345,34.0738166666667",Kavo Gkreko,Protected,2,1
32,34.95831667,34.0677,"34.9583166666667,34.0677",Kavo Gkreko,Protected,2,1
33,34.96016667,34.08025,"34.9601666666667,34.08025",Kavo Gkreko,Protected,2,1
34,34.95898333,34.06793333,"34.9589833333333,34.0679333333333",Kavo Gkreko,Protected,2,1
35,34.97511667,34.07676667,"34.9751166666667,34.0767666666667",Kavo Gkreko,Protected,2,1
36,34.95681667,34.08691667,"34.9568166666667,34.0869166666667",Kavo Gkreko,Protected,3,2
37,34.96075,34.0891,"34.96075,34.0891",Kavo Gkreko,Protected,3,2
38,34.95786667,34.0868,"34.9578666666667,34.0868",Kavo Gkreko,Protected,3,2
39,34.95413333,34.08383333,"34.9541333333333,34.0838333333333",Kavo Gkreko,Protected,3,2
40,34.96071667,34.08775,"34.9607166666667,34.08775",Kavo Gkreko,Protected,3,2
41,34.9558,34.08443333,"34.9558,34.0844333333333",Kavo Gkreko,Protected,3,2
42,34.72291667,32.42798333,"34.7229166666667,32.4279833333333",Moulia,Protected,1,0
43,34.72283333,32.43746667,"34.7228333333333,32.4374666666667",Moulia,Protected,1,0
44,35.00115,34.06756667,"35.00115,34.0675666666667",Nisia,Protected,1,0
45,35.00735,34.06428333,"35.00735,34.0642833333333",Nisia,Protected,1,0
46,35.00625,34.06883333,"35.00625,34.0688333333333",Nisia,Protected,1,0
47,35.002,34.07193333,"35.002,34.0719333333333",Nisia,Protected,1,0
48,35.0004,34.0686,"35.0004,34.0686",Nisia,Protected,1,0
49,35.00106667,34.06691667,"35.0010666666667,34.0669166666667",Nisia,Protected,1,0
